date,open,high,low,close
"20121012  09:30:00",1.31,1.31,1.01,1.25
"20121012  09:31:00",1.20,1.20,0.77,0.77
"20121012  09:32:00",0.82,0.96,0.77,0.95
"20121012  09:33:00",0.97,1.00,0.79,0.89
"20121012  09:34:00",0.83,1.14,0.83,1.14
"20121012  09:35:00",1.06,1.30,1.06,1.11
"20121012  09:36:00",1.20,1.28,1.15,1.21
"20121012  09:37:00",1.20,1.28,1.00,1.02
"20121012  09:38:00",1.02,1.07,0.94,1.00
"20121012  09:39:00",0.95,0.99,0.60,0.65
"20121012  09:40:00",0.66,0.70,0.58,0.64
"20121012  09:41:00",0.65,0.67,0.59,0.64
"20121012  09:42:00",0.61,0.66,0.56,0.58
"20121012  09:43:00",0.57,0.63,0.51,0.59
"20121012  09:44:00",0.57,0.62,0.48,0.48
"20121012  09:45:00",0.52,0.59,0.50,0.53
"20121012  09:46:00",0.56,0.64,0.56,0.64
"20121012  09:47:00",0.66,0.75,0.64,0.75
"20121012  09:48:00",0.71,0.81,0.70,0.70
"20121012  09:49:00",0.73,0.73,0.56,0.71
"20121012  09:50:00",0.70,0.74,0.66,0.66
"20121012  09:51:00",0.70,0.73,0.63,0.70
"20121012  09:52:00",0.70,0.70,0.55,0.60
"20121012  09:53:00",0.56,0.62,0.55,0.60
"20121012  09:54:00",0.58,0.62,0.57,0.62
"20121012  09:55:00",0.69,0.75,0.60,0.72
"20121012  09:56:00",0.71,1.04,0.65,0.93
"20121012  09:57:00",0.90,0.96,0.84,0.90
"20121012  09:58:00",0.90,1.25,0.88,1.24
"20121012  09:59:00",1.20,1.41,1.20,1.41
"20121012  10:00:00",1.41,1.73,1.36,1.50
"20121012  10:01:00",1.50,1.66,1.45,1.52
"20121012  10:02:00",1.46,1.85,1.46,1.85
"20121012  10:03:00",1.85,2.26,1.80,2.01
"20121012  10:04:00",2.00,2.06,1.74,1.80
"20121012  10:05:00",1.90,1.90,1.61,1.67
"20121012  10:06:00",1.66,1.70,1.42,1.65
"20121012  10:07:00",1.55,1.58,1.38,1.51
"20121012  10:08:00",1.50,1.55,1.25,1.25
"20121012  10:09:00",1.29,1.48,1.28,1.35
"20121012  10:10:00",1.38,1.38,1.26,1.28
"20121012  10:11:00",1.28,1.30,1.05,1.05
"20121012  10:12:00",1.02,1.15,1.02,1.15
"20121012  10:13:00",1.19,1.33,1.16,1.25
"20121012  10:14:00",1.30,1.50,1.29,1.50
"20121012  10:15:00",1.50,1.65,1.45,1.62
"20121012  10:16:00",1.69,1.87,1.61,1.85
"20121012  10:17:00",1.81,1.87,1.52,1.64
"20121012  10:18:00",1.78,2.66,1.74,2.59
"20121012  10:19:00",2.65,2.65,2.14,2.33
"20121012  10:20:00",2.26,2.33,1.96,1.97
"20121012  10:21:00",1.95,2.16,1.74,2.10
"20121012  10:22:00",2.10,2.69,2.10,2.60
"20121012  10:23:00",2.60,2.65,2.34,2.36
"20121012  10:24:00",2.21,2.88,2.13,2.79
"20121012  10:25:00",2.72,2.79,2.30,2.33
"20121012  10:26:00",2.40,2.75,2.36,2.40
"20121012  10:27:00",2.44,2.45,2.00,2.00
"20121012  10:28:00",2.00,2.02,1.80,1.90
"20121012  10:29:00",1.80,1.98,1.68,1.85
"20121012  10:30:00",1.92,1.92,1.65,1.65
"20121012  10:31:00",1.75,1.95,1.69,1.75
"20121012  10:32:00",1.75,1.94,1.73,1.73
"20121012  10:33:00",1.82,1.96,1.73,1.95
