date,open,high,low,close
"20121012  09:30:00",15.93,16.10,15.20,15.36
"20121012  09:31:00",15.90,17.85,15.90,17.85
"20121012  09:32:00",17.22,17.22,16.80,16.95
"20121012  09:33:00",16.70,17.60,16.65,17.60
"20121012  09:34:00",16.40,16.40,16.40,16.40
"20121012  09:35:00",15.86,15.86,15.05,15.20
"20121012  09:36:00",15.20,15.20,15.20,15.20
"20121012  09:37:00",15.30,16.00,15.30,16.00
"20121012  09:38:00",16.60,16.60,16.40,16.40
"20121012  09:39:00",17.20,18.50,17.20,18.50
"20121012  09:40:00",18.65,18.95,18.65,18.90
"20121012  09:41:00",18.95,19.20,18.85,19.20
"20121012  09:42:00",19.05,19.23,19.05,19.23
"20121012  09:43:00",19.35,19.60,18.80,18.80
"20121012  09:44:00",18.65,19.00,18.65,19.00
"20121012  09:45:00",19.20,19.20,19.20,19.20
"20121012  09:46:00",19.00,19.00,18.20,18.30
"20121012  09:47:00",17.93,18.00,17.25,17.25
"20121012  09:48:00",17.25,17.25,17.25,17.25
"20121012  09:49:00",17.40,17.40,17.25,17.25
"20121012  09:50:00",17.20,17.20,17.20,17.20
"20121012  09:51:00",17.50,17.50,17.35,17.35
"20121012  09:52:00",18.20,18.25,18.20,18.25
"20121012  09:53:00",17.93,17.93,17.93,17.93
"20121012  09:54:00",17.70,17.70,16.75,16.80
"20121012  09:55:00",16.80,16.80,16.80,16.80
"20121012  09:56:00",16.45,16.45,15.26,15.26
"20121012  09:57:00",15.50,15.60,15.50,15.50
"20121012  09:58:00",15.80,15.80,14.50,14.76
"20121012  09:59:00",13.55,13.55,13.47,13.47
"20121012  10:00:00",13.19,13.20,12.89,13.20
"20121012  10:01:00",13.20,13.20,13.20,13.20
"20121012  10:02:00",12.80,12.80,12.44,12.47
"20121012  10:03:00",12.20,12.20,11.83,12.00
"20121012  10:04:00",12.10,12.40,12.10,12.24
"20121012  10:05:00",12.45,12.45,12.45,12.45
"20121012  10:06:00",12.95,12.95,12.90,12.90
"20121012  10:07:00",13.10,13.10,12.75,12.75
"20121012  10:08:00",12.85,12.85,12.85,12.85
"20121012  10:09:00",12.85,12.85,12.85,12.85
"20121012  10:10:00",13.20,13.35,13.20,13.30
"20121012  10:11:00",14.40,14.40,14.40,14.40
"20121012  10:12:00",14.20,14.45,14.00,14.00
"20121012  10:13:00",14.00,14.00,14.00,14.00
"20121012  10:14:00",13.50,13.50,13.11,13.11
"20121012  10:15:00",13.11,13.11,13.11,13.11
"20121012  10:16:00",12.23,12.23,12.00,12.00
"20121012  10:17:00",12.05,12.05,12.05,12.05
"20121012  10:18:00",11.60,11.60,10.30,10.30
"20121012  10:19:00",10.00,10.70,10.00,10.66
"20121012  10:20:00",11.40,11.40,11.10,11.25
"20121012  10:21:00",11.45,11.60,11.36,11.36
"20121012  10:22:00",10.35,10.44,10.35,10.44
"20121012  10:23:00",10.20,10.70,10.20,10.70
"20121012  10:24:00",10.90,10.90,10.00,10.10
"20121012  10:25:00",10.55,11.05,10.55,11.05
"20121012  10:26:00",11.13,11.13,10.70,10.70
"20121012  10:27:00",10.65,11.45,10.65,11.45
"20121012  10:28:00",11.75,11.80,11.65,11.80
"20121012  10:29:00",12.50,12.50,11.65,11.65
"20121012  10:30:00",11.80,12.25,11.80,12.15
"20121012  10:31:00",11.90,11.90,11.40,11.40
"20121012  10:32:00",11.80,11.80,11.70,11.70
"20121012  10:33:00",11.75,11.75,11.75,11.75
"20121012  10:34:00",11.60,11.60,11.60,11.60
"20121012  10:35:00",11.70,11.70,11.70,11.70
"20121012  10:36:00",11.15,11.15,11.15,11.15
"20121012  10:37:00",11.00,11.00,10.80,10.80
"20121012  10:38:00",10.75,10.75,10.45,10.45
"20121012  10:39:00",10.65,10.75,10.52,10.52
"20121012  10:40:00",10.45,10.45,10.30,10.30
"20121012  10:41:00",10.50,10.50,10.40,10.40
"20121012  10:42:00",10.00,10.40,10.00,10.40
"20121012  10:43:00",10.50,11.10,10.50,10.65
"20121012  10:44:00",10.50,10.50,10.50,10.50
"20121012  10:45:00",10.50,11.45,10.45,11.45
"20121012  10:46:00",10.85,10.85,10.85,10.85
"20121012  10:47:00",10.25,10.90,10.25,10.90
