date,open,high,low,close
"20121012  09:30:00",0.15,0.15,0.15,0.15
"20121012  09:31:00",0.20,0.20,0.20,0.20
"20121012  09:32:00",0.20,0.20,0.20,0.20
"20121012  09:33:00",0.10,0.10,0.05,0.05
"20121012  09:34:00",0.10,0.10,0.10,0.10
"20121012  09:35:00",0.10,0.10,0.10,0.10
"20121012  09:36:00",0.05,0.05,0.05,0.05
"20121012  09:37:00",0.05,0.05,0.05,0.05
"20121012  09:38:00",0.05,0.05,0.05,0.05
"20121012  09:39:00",0.05,0.05,0.05,0.05
"20121012  09:40:00",0.05,0.05,0.05,0.05
"20121012  09:41:00",0.05,0.05,0.05,0.05
"20121012  09:42:00",0.05,0.10,0.05,0.10
"20121012  09:43:00",0.10,0.10,0.10,0.10
"20121012  09:44:00",0.10,0.10,0.10,0.10
"20121012  09:45:00",0.05,0.05,0.05,0.05
"20121012  09:46:00",0.05,0.05,0.05,0.05
"20121012  09:47:00",0.05,0.05,0.05,0.05
"20121012  09:48:00",0.05,0.05,0.05,0.05
"20121012  09:49:00",0.05,0.05,0.05,0.05
"20121012  09:50:00",0.10,0.10,0.10,0.10
"20121012  09:51:00",0.05,0.05,0.05,0.05
"20121012  09:52:00",0.05,0.05,0.05,0.05
"20121012  09:53:00",0.05,0.05,0.05,0.05
"20121012  09:54:00",0.10,0.10,0.10,0.10
"20121012  09:55:00",0.10,0.10,0.10,0.10
"20121012  09:56:00",0.10,0.10,0.10,0.10
"20121012  09:57:00",0.10,0.10,0.10,0.10
"20121012  09:58:00",0.10,0.10,0.10,0.10
"20121012  09:59:00",0.05,0.05,0.05,0.05
"20121012  10:00:00",0.05,0.10,0.05,0.05
"20121012  10:01:00",0.05,0.05,0,0.05
"20121012  10:02:00",0.05,0.05,0.05,0.05
"20121012  10:03:00",0.05,0.05,0.05,0.05
"20121012  10:04:00",0.05,0.05,0.05,0.05
"20121012  10:05:00",0.05,0.05,0.05,0.05
"20121012  10:06:00",0.05,0.05,0.05,0.05
"20121012  10:07:00",0.05,0.05,0.05,0.05
"20121012  10:08:00",0.05,0.05,0.05,0.05
"20121012  10:09:00",0.05,0.05,0.05,0.05
"20121012  10:10:00",0.05,0.05,0.05,0.05
"20121012  10:11:00",0.05,0.05,0.05,0.05
"20121012  10:12:00",0.05,0.05,0.05,0.05
"20121012  10:13:00",0.05,0.05,0.05,0.05
"20121012  10:14:00",0.05,0.05,0.05,0.05
"20121012  10:15:00",0.05,0.05,0.05,0.05
"20121012  10:16:00",0.05,0.05,0.05,0.05
"20121012  10:17:00",0.05,0.05,0.05,0.05
"20121012  10:18:00",0.05,0.05,0.05,0.05
"20121012  10:19:00",0.05,0.05,0.05,0.05
"20121012  10:20:00",0.05,0.05,0.05,0.05
"20121012  10:21:00",0.05,0.05,0.05,0.05
"20121012  10:22:00",0.05,0.05,0.05,0.05
"20121012  10:23:00",0.05,0.05,0.05,0.05
"20121012  10:24:00",0.05,0.05,0.05,0.05
"20121012  10:25:00",0.05,0.05,0.05,0.05
"20121012  10:26:00",0.05,0.10,0.05,0.10
"20121012  10:27:00",0.05,0.05,0.05,0.05
"20121012  10:28:00",0.05,0.05,0.05,0.05
"20121012  10:29:00",0.10,0.10,0.10,0.10
"20121012  10:30:00",0.10,0.10,0.10,0.10
"20121012  10:31:00",0.10,0.10,0.10,0.10
"20121012  10:32:00",0.10,0.10,0.10,0.10
"20121012  10:33:00",0.10,0.10,0.10,0.10
"20121012  10:34:00",0.05,0.10,0.05,0.10
"20121012  10:35:00",0.10,0.10,0.10,0.10
"20121012  10:36:00",0.10,0.10,0.10,0.10
"20121012  10:37:00",0.05,0.05,0.05,0.05
"20121012  10:38:00",0.05,0.05,0.05,0.05
"20121012  10:39:00",0.05,0.05,0.05,0.05
"20121012  10:40:00",0.05,0.05,0.05,0.05
"20121012  10:41:00",0.05,0.05,0.05,0.05
"20121012  10:42:00",0.05,0.05,0.05,0.05
"20121012  10:43:00",0.05,0.05,0.05,0.05
"20121012  10:44:00",0.05,0.05,0.05,0.05
"20121012  10:45:00",0.05,0.05,0.05,0.05
"20121012  10:46:00",0.05,0.05,0.05,0.05
"20121012  10:47:00",0.05,0.05,0.05,0.05
"20121012  10:48:00",0.05,0.05,0.05,0.05
"20121012  10:49:00",0.05,0.05,0.05,0.05
"20121012  10:50:00",0.05,0.05,0.05,0.05
"20121012  10:51:00",0.05,0.05,0.05,0.05
"20121012  10:52:00",0.05,0.05,0.05,0.05
"20121012  10:53:00",0.05,0.05,0.05,0.05
"20121012  10:54:00",0.05,0.05,0.05,0.05
"20121012  10:55:00",0.05,0.05,0.05,0.05
"20121012  10:56:00",0.05,0.05,0.05,0.05
"20121012  10:57:00",0.05,0.05,0.05,0.05
"20121012  10:58:00",0.05,0.05,0.05,0.05
"20121012  10:59:00",0.05,0.05,0.05,0.05
"20121012  11:00:00",0.05,0.05,0.05,0.05
"20121012  11:01:00",0.05,0.05,0.05,0.05
"20121012  11:02:00",0.05,0.05,0.05,0.05
"20121012  11:03:00",0.05,0.05,0.05,0.05
"20121012  11:04:00",0.05,0.05,0.05,0.05
"20121012  11:05:00",0.05,0.05,0.05,0.05
"20121012  11:06:00",0.05,0.05,0.05,0.05
"20121012  11:07:00",0.05,0.05,0.05,0.05
"20121012  11:08:00",0.05,0.05,0.05,0.05
"20121012  11:09:00",0.05,0.05,0.05,0.05
"20121012  11:10:00",0.05,0.05,0.05,0.05
"20121012  11:11:00",0.05,0.05,0.05,0.05
"20121012  11:12:00",0.05,0.05,0.05,0.05
"20121012  11:13:00",0.05,0.05,0.05,0.05
"20121012  11:14:00",0.05,0.05,0.05,0.05
"20121012  11:15:00",0.05,0.05,0.05,0.05
"20121012  11:16:00",0.05,0.05,0.05,0.05
"20121012  11:17:00",0.05,0.05,0.05,0.05
"20121012  11:18:00",0.05,0.05,0.05,0.05
"20121012  11:19:00",0.05,0.05,0.05,0.05
"20121012  11:20:00",0.05,0.05,0.05,0.05
"20121012  11:21:00",0.05,0.05,0.05,0.05
"20121012  11:22:00",0.05,0.05,0.05,0.05
"20121012  11:23:00",0.05,0.05,0.05,0.05
"20121012  11:24:00",0.05,0.05,0.05,0.05
"20121012  11:25:00",0.05,0.05,0.05,0.05
"20121012  11:26:00",0.05,0.05,0.05,0.05
"20121012  11:27:00",0.05,0.05,0.05,0.05
"20121012  11:28:00",0.05,0.05,0.05,0.05
"20121012  11:29:00",0.05,0.05,0.05,0.05
"20121012  11:30:00",0.05,0.05,0.05,0.05
"20121012  11:31:00",0.05,0.05,0.05,0.05
"20121012  11:32:00",0.05,0.05,0.05,0.05
"20121012  11:33:00",0.05,0.05,0.05,0.05
"20121012  11:34:00",0.05,0.05,0.05,0.05
"20121012  11:35:00",0.05,0.05,0.05,0.05
