date,open,high,low,close
"20121012  09:30:00",751.80,753.59,751.49,753.01
"20121012  09:31:00",753.47,753.47,751.53,751.64
"20121012  09:32:00",751.88,752.44,750.47,751.03
"20121012  09:33:00",751.04,751.57,750.77,751.47
"20121012  09:34:00",751.30,751.63,750.47,751.03
"20121012  09:35:00",750.83,751.65,750.57,751.61
"20121012  09:36:00",751.19,752.99,751.17,752.65
"20121012  09:37:00",753.00,753.84,752.18,752.44
"20121012  09:38:00",752.47,752.82,752.01,752.67
"20121012  09:39:00",752.25,752.74,752.00,752.43
"20121012  09:40:00",752.44,752.76,752.01,752.19
"20121012  09:41:00",752.00,752.23,749.41,749.59
"20121012  09:42:00",750.11,750.11,749.00,749.47
"20121012  09:43:00",749.51,750.00,749.50,750.00
"20121012  09:44:00",749.71,750.12,749.71,749.71
"20121012  09:45:00",749.71,750.61,749.27,750.27
"20121012  09:46:00",750.63,751.29,750.27,751.29
"20121012  09:47:00",751.23,751.76,751.23,751.30
"20121012  09:48:00",751.49,751.98,751.36,751.74
"20121012  09:49:00",751.68,752.47,750.36,750.54
"20121012  09:50:00",750.53,751.23,750.49,750.85
"20121012  09:51:00",751.12,751.37,750.73,751.16
"20121012  09:52:00",751.17,751.17,750.55,750.72
"20121012  09:53:00",750.85,751.23,750.85,751.07
"20121012  09:54:00",750.98,752.39,750.78,752.37
"20121012  09:55:00",752.46,752.46,751.41,751.66
"20121012  09:56:00",751.94,752.33,751.50,752.18
"20121012  09:57:00",751.85,752.70,751.85,752.25
"20121012  09:58:00",752.26,752.97,752.25,752.59
"20121012  09:59:00",752.90,754.08,752.84,754.00
"20121012  10:00:00",753.77,754.29,753.70,754.29
"20121012  10:01:00",754.05,754.86,753.98,754.63
"20121012  10:02:00",754.50,754.87,754.18,754.64
"20121012  10:03:00",754.70,754.83,754.36,754.59
"20121012  10:04:00",754.64,754.74,754.29,754.68
"20121012  10:05:00",754.60,754.77,753.98,753.98
"20121012  10:06:00",754.21,754.47,754.00,754.08
"20121012  10:07:00",754.06,754.06,753.46,753.72
"20121012  10:08:00",753.51,753.72,753.00,753.06
"20121012  10:09:00",753.02,753.62,753.02,753.37
"20121012  10:10:00",753.43,753.47,753.00,753.00
"20121012  10:11:00",753.00,753.03,752.60,752.88
"20121012  10:12:00",752.88,753.58,752.84,753.21
"20121012  10:13:00",753.16,753.37,752.60,753.07
"20121012  10:14:00",753.09,753.24,752.83,752.83
"20121012  10:15:00",752.95,753.23,752.93,753.01
"20121012  10:16:00",753.10,753.42,752.70,752.70
"20121012  10:17:00",752.79,752.80,751.86,751.99
"20121012  10:18:00",751.94,752.39,751.91,751.91
"20121012  10:19:00",751.93,752.21,751.03,751.21
"20121012  10:20:00",751.43,752.45,751.22,751.99
"20121012  10:21:00",751.99,752.16,751.64,752.16
"20121012  10:22:00",751.78,752.06,751.73,751.89
"20121012  10:23:00",751.88,752.12,751.29,751.29
"20121012  10:24:00",751.29,751.67,751.02,751.67
"20121012  10:25:00",751.20,751.49,750.80,750.80
"20121012  10:26:00",750.99,751.32,750.91,751.05
"20121012  10:27:00",751.02,751.32,750.66,751.02
