date,open,high,low,close
"20121012  09:30:00",629.56,629.99,628.61,629.65
"20121012  09:31:00",629.63,629.69,627.00,627.37
"20121012  09:32:00",627.31,628.83,627.31,628.56
"20121012  09:33:00",628.51,628.67,627.11,627.41
"20121012  09:34:00",627.30,629.21,627.28,629.19
"20121012  09:35:00",629.15,630.38,628.97,629.35
"20121012  09:36:00",629.68,630.10,629.38,629.89
"20121012  09:37:00",629.90,630.17,628.50,628.76
"20121012  09:38:00",628.77,629.00,628.56,628.81
"20121012  09:39:00",628.81,628.81,626.12,626.61
"20121012  09:40:00",626.72,627.03,626.10,626.43
"20121012  09:41:00",626.43,626.64,625.66,625.78
"20121012  09:42:00",625.70,626.25,625.66,625.95
"20121012  09:43:00",625.85,626.39,625.46,626.39
"20121012  09:44:00",626.38,626.63,625.60,625.60
"20121012  09:45:00",625.60,626.14,625.30,626.00
"20121012  09:46:00",625.90,627.18,625.81,627.07
"20121012  09:47:00",627.19,627.84,626.97,627.66
"20121012  09:48:00",627.69,628.36,627.55,627.86
"20121012  09:49:00",627.77,628.14,627.70,627.91
"20121012  09:50:00",628.12,628.19,627.67,627.84
"20121012  09:51:00",627.98,628.03,627.40,627.63
"20121012  09:52:00",627.70,627.89,626.83,627.19
"20121012  09:53:00",627.06,627.60,626.91,627.40
"20121012  09:54:00",627.24,628.24,627.00,628.20
"20121012  09:55:00",628.13,628.86,627.94,628.24
"20121012  09:56:00",628.33,629.90,628.25,629.68
"20121012  09:57:00",629.61,629.72,629.28,629.45
"20121012  09:58:00",629.48,631.50,629.07,631.11
"20121012  09:59:00",631.15,631.84,631.06,631.84
"20121012  10:00:00",631.84,632.66,631.53,632.00
"20121012  10:01:00",631.90,632.48,631.68,631.68
"20121012  10:02:00",631.68,632.97,631.66,632.97
"20121012  10:03:00",632.97,633.74,632.86,633.07
"20121012  10:04:00",633.21,633.24,632.61,632.79
"20121012  10:05:00",632.90,633.13,632.45,632.52
"20121012  10:06:00",632.55,632.70,631.84,632.48
"20121012  10:07:00",632.43,632.48,631.75,632.30
"20121012  10:08:00",632.24,632.36,631.42,631.48
"20121012  10:09:00",631.49,632.45,631.46,631.85
"20121012  10:10:00",631.77,632.13,631.57,631.80
"20121012  10:11:00",631.67,631.71,630.67,630.89
"20121012  10:12:00",630.88,631.15,630.65,631.05
"20121012  10:13:00",631.06,631.61,631.00,631.48
"20121012  10:14:00",631.53,632.15,631.40,632.15
"20121012  10:15:00",632.13,632.95,631.90,632.75
"20121012  10:16:00",632.76,633.58,632.54,633.58
"20121012  10:17:00",633.43,633.61,632.64,633.31
"20121012  10:18:00",633.31,635.10,633.19,635.00
"20121012  10:19:00",635.04,635.18,633.78,634.10
"20121012  10:20:00",634.00,634.27,633.56,633.60
"20121012  10:21:00",633.62,634.00,633.13,633.71
"20121012  10:22:00",633.82,635.00,633.80,634.88
"20121012  10:23:00",634.80,634.90,634.00,634.03
"20121012  10:24:00",633.90,635.33,633.80,635.18
"20121012  10:25:00",635.09,635.20,634.01,634.04
"20121012  10:26:00",634.05,635.18,634.05,634.38
"20121012  10:27:00",634.32,634.57,633.50,633.50
"20121012  10:28:00",633.57,633.80,632.70,632.81
"20121012  10:29:00",632.79,633.50,632.61,633.22
"20121012  10:30:00",633.36,633.42,632.85,632.99
"20121012  10:31:00",633.19,633.84,632.86,633.38
"20121012  10:32:00",633.18,633.68,633.15,633.15
"20121012  10:33:00",633.16,633.74,633.16,633.56
"20121012  10:34:00",633.57,633.84,633.00,633.31
"20121012  10:35:00",633.28,633.80,633.07,633.80
"20121012  10:36:00",633.80,634.25,633.64,633.90
"20121012  10:37:00",633.95,634.44,633.70,634.20
"20121012  10:38:00",634.24,634.71,634.22,634.64
"20121012  10:39:00",634.70,634.94,634.25,634.94
"20121012  10:40:00",634.94,635.09,634.30,634.83
"20121012  10:41:00",634.81,635.10,634.31,635.07
"20121012  10:42:00",635.10,635.35,634.56,634.81
"20121012  10:43:00",634.79,634.91,634.00,634.30
"20121012  10:44:00",634.27,634.76,634.24,634.70
"20121012  10:45:00",634.65,634.89,633.70,634.00
"20121012  10:46:00",633.79,634.41,633.77,634.20
"20121012  10:47:00",634.41,635.00,634.13,634.13
"20121012  10:48:00",634.23,634.31,633.92,634.26
"20121012  10:49:00",634.20,634.89,634.13,634.89
"20121012  10:50:00",634.87,635.00,633.65,633.70
"20121012  10:51:00",633.67,634.39,633.65,633.97
"20121012  10:52:00",633.97,633.97,633.22,633.54
"20121012  10:53:00",633.66,634.00,633.41,633.65
"20121012  10:54:00",633.58,633.98,633.30,633.98
"20121012  10:55:00",633.75,634.80,633.75,634.50
"20121012  10:56:00",634.41,634.89,634.23,634.85
"20121012  10:57:00",634.86,635.38,634.62,635.19
"20121012  10:58:00",635.19,635.25,634.10,634.37
"20121012  10:59:00",634.36,634.67,634.00,634.02
