date,open,high,low,close
"20121012  09:30:00",3.25,4.05,3.25,3.35
"20121012  09:31:00",3.65,4.85,3.55,4.71
"20121012  09:32:00",4.65,4.80,3.85,4.06
"20121012  09:33:00",4.25,5.00,4.21,4.85
"20121012  09:34:00",4.89,4.89,3.95,4.05
"20121012  09:35:00",3.91,3.91,3.19,3.50
"20121012  09:36:00",3.40,4.36,3.35,3.40
"20121012  09:37:00",3.46,4.00,3.30,3.95
"20121012  09:38:00",3.95,4.10,3.82,3.95
"20121012  09:39:00",4.05,5.50,4.05,5.15
"20121012  09:40:00",5.20,5.65,5.00,5.40
"20121012  09:41:00",5.50,6.00,5.20,5.90
"20121012  09:42:00",6.00,6.00,5.60,5.75
"20121012  09:43:00",5.77,6.05,5.45,5.59
"20121012  09:44:00",5.55,5.85,5.20,5.80
"20121012  09:45:00",6.00,6.15,5.63,5.80
"20121012  09:46:00",5.60,5.60,5.00,5.00
"20121012  09:47:00",4.75,4.90,4.35,4.45
"20121012  09:48:00",4.35,4.40,3.90,4.25
"20121012  09:49:00",4.25,4.35,4.15,4.19
"20121012  09:50:00",4.10,4.35,4.10,4.10
"20121012  09:51:00",4.50,4.50,4.19,4.30
"20121012  09:52:00",4.36,4.95,4.30,4.65
"20121012  09:53:00",4.60,4.65,4.45,4.50
"20121012  09:54:00",4.50,4.65,3.95,3.95
"20121012  09:55:00",4.00,4.00,3.40,3.50
"20121012  09:56:00",3.55,3.70,2.93,3.00
"20121012  09:57:00",3.00,3.26,3.00,3.26
"20121012  09:58:00",3.15,3.45,2.17,2.34
"20121012  09:59:00",2.20,2.25,1.97,2.06
"20121012  10:00:00",1.93,2.07,1.72,2.00
"20121012  10:01:00",1.94,2.17,1.84,2.17
"20121012  10:02:00",2.05,2.12,1.62,1.68
"20121012  10:03:00",1.62,1.68,1.37,1.58
"20121012  10:04:00",1.65,1.76,1.59,1.70
"20121012  10:05:00",1.70,1.90,1.64,1.78
"20121012  10:06:00",1.74,1.99,1.74,1.75
"20121012  10:07:00",1.87,1.99,1.83,1.93
"20121012  10:08:00",1.84,2.00,1.84,2.00
"20121012  10:09:00",2.10,2.10,1.75,1.77
"20121012  10:10:00",1.99,2.05,1.85,1.99
"20121012  10:11:00",1.95,2.40,1.95,2.40
"20121012  10:12:00",2.25,2.43,2.20,2.25
"20121012  10:13:00",2.20,2.20,2.00,2.00
"20121012  10:14:00",1.97,2.03,1.78,1.80
"20121012  10:15:00",1.85,1.85,1.45,1.54
"20121012  10:16:00",1.50,1.60,1.25,1.29
"20121012  10:17:00",1.24,1.53,1.22,1.35
"20121012  10:18:00",1.35,1.36,1.01,1.06
"20121012  10:19:00",1.06,1.35,1.01,1.24
"20121012  10:20:00",1.26,1.42,1.26,1.40
"20121012  10:21:00",1.39,1.50,1.25,1.25
"20121012  10:22:00",1.33,1.33,1.05,1.10
"20121012  10:23:00",1.15,1.30,1.10,1.21
"20121012  10:24:00",1.30,1.35,1.00,1.01
"20121012  10:25:00",1.05,1.30,1.04,1.29
"20121012  10:26:00",1.30,1.30,1.03,1.17
"20121012  10:27:00",1.20,1.39,1.15,1.36
"20121012  10:28:00",1.35,1.55,1.35,1.50
"20121012  10:29:00",1.55,1.60,1.34,1.41
"20121012  10:30:00",1.40,1.55,1.40,1.43
"20121012  10:31:00",1.51,1.51,1.19,1.38
"20121012  10:32:00",1.38,1.45,1.28,1.45
"20121012  10:33:00",1.45,1.45,1.35,1.35
"20121012  10:34:00",1.37,1.48,1.30,1.38
"20121012  10:35:00",1.39,1.42,1.25,1.31
"20121012  10:36:00",1.27,1.30,1.11,1.24
"20121012  10:37:00",1.20,1.21,1.09,1.11
"20121012  10:38:00",1.11,1.19,1.02,1.02
"20121012  10:39:00",1.02,1.12,1.00,1.03
"20121012  10:40:00",0.97,1.07,0.95,0.95
"20121012  10:41:00",0.95,1.04,0.95,0.95
"20121012  10:42:00",0.91,1.00,0.86,0.98
"20121012  10:43:00",1.01,1.14,1.01,1.11
"20121012  10:44:00",1.10,1.13,0.99,1.05
"20121012  10:45:00",1.03,1.27,0.98,1.20
"20121012  10:46:00",1.20,1.22,1.10,1.10
"20121012  10:47:00",1.08,1.12,0.99,1.12
"20121012  10:48:00",1.13,1.20,1.12,1.15
"20121012  10:49:00",1.16,1.16,1.00,1.00
"20121012  10:50:00",1.00,1.25,0.94,1.25
"20121012  10:51:00",1.16,1.20,1.06,1.15
"20121012  10:52:00",1.16,1.37,1.16,1.32
"20121012  10:53:00",1.23,1.33,1.20,1.33
"20121012  10:54:00",1.27,1.38,1.19,1.20
"20121012  10:55:00",1.18,1.18,1.00,1.08
"20121012  10:56:00",1.06,1.13,0.99,1.01
"20121012  10:57:00",1.01,1.03,0.81,0.89
"20121012  10:58:00",0.94,1.04,0.82,0.95
"20121012  10:59:00",0.96,1.05,0.92,1.00
"20121012  11:00:00",1.07,1.14,0.99,1.07
"20121012  11:01:00",1.05,1.10,0.98,1.09
"20121012  11:02:00",1.06,1.06,1.03,1.03
"20121012  11:03:00",1.09,1.14,1.05,1.10
"20121012  11:04:00",1.11,1.27,1.04,1.22
"20121012  11:05:00",1.29,1.32,1.05,1.15
"20121012  11:06:00",1.15,1.15,1.00,1.11
"20121012  11:07:00",1.05,1.20,1.05,1.20
"20121012  11:08:00",1.20,1.20,1.11,1.12
"20121012  11:09:00",1.14,1.21,1.07,1.21
"20121012  11:10:00",1.26,1.70,1.25,1.60
"20121012  11:11:00",1.58,1.70,1.39,1.46
"20121012  11:12:00",1.46,1.51,1.40,1.43
"20121012  11:13:00",1.45,2.11,1.39,2.00
"20121012  11:14:00",1.99,2.24,1.95,2.01
"20121012  11:15:00",2.11,2.34,2.10,2.26
"20121012  11:16:00",2.26,2.28,1.80,1.94
"20121012  11:17:00",2.00,2.05,1.69,1.95
"20121012  11:18:00",1.88,1.97,1.62,1.68
"20121012  11:19:00",1.70,1.99,1.70,1.85
"20121012  11:20:00",1.85,2.10,1.80,2.07
"20121012  11:21:00",2.20,2.24,1.90,1.90
"20121012  11:22:00",1.94,1.95,1.80,1.82
"20121012  11:23:00",1.82,1.82,1.55,1.60
"20121012  11:24:00",1.79,1.79,1.55,1.55
"20121012  11:25:00",1.66,1.66,1.58,1.62
"20121012  11:26:00",1.53,1.57,1.50,1.57
"20121012  11:27:00",1.56,1.66,1.49,1.56
"20121012  11:28:00",1.59,1.70,1.55,1.70
"20121012  11:29:00",1.76,1.80,1.68,1.69
"20121012  11:30:00",1.75,2.00,1.75,2.00
"20121012  11:31:00",2.03,2.50,1.84,2.40
"20121012  11:32:00",2.40,2.40,2.09,2.15
"20121012  11:33:00",2.20,2.20,1.75,1.82
"20121012  11:34:00",1.73,2.20,1.73,2.02
"20121012  11:35:00",2.11,2.24,2.10,2.10
"20121012  11:36:00",2.05,2.05,1.83,1.83
"20121012  11:37:00",1.85,2.00,1.82,1.89
"20121012  11:38:00",1.85,1.85,1.65,1.65
"20121012  11:39:00",1.68,1.69,1.59,1.65
"20121012  11:40:00",1.68,1.71,1.61,1.64
"20121012  11:41:00",1.70,2.08,1.70,1.95
"20121012  11:42:00",1.98,2.06,1.95,2.02
"20121012  11:43:00",1.97,1.99,1.89,1.99
"20121012  11:44:00",1.86,1.91,1.74,1.90
"20121012  11:45:00",1.93,2.00,1.87,1.87
"20121012  11:46:00",1.85,1.87,1.67,1.70
"20121012  11:47:00",1.72,1.73,1.63,1.65
"20121012  11:48:00",1.79,1.88,1.72,1.75
"20121012  11:49:00",1.80,1.80,1.67,1.69
"20121012  11:50:00",1.77,1.95,1.77,1.87
"20121012  11:51:00",1.86,1.86,1.66,1.67
"20121012  11:52:00",1.70,1.70,1.40,1.47
"20121012  11:53:00",1.41,1.41,1.24,1.25
"20121012  11:54:00",1.24,1.35,1.18,1.25
"20121012  11:55:00",1.27,1.34,1.08,1.16
"20121012  11:56:00",1.10,1.20,1.02,1.09
